entry_id,molecule,mapping,ansatz_type,n_qubits,status,flags,n_1q,n_2q,gap_mHa,c_I_minus_E_Ha,penalty_opt_mHa,noisy_gap_opt_mHa,meets_opt,eps_eff_opt,eps_model_opt,penalty_current_mHa,noisy_gap_current_mHa,meets_current,eps_eff_current,eps_model_current,penalty_pessimistic_mHa,noisy_gap_pessimistic_mHa,meets_pessimistic,eps_eff_pessimistic,eps_model_pessimistic,penalty_device-sc_mHa,noisy_gap_device-sc_mHa,meets_device-sc,eps_eff_device-sc,eps_model_device-sc,zne_residual_mHa,zne_gap_mHa,meets_after_zne,reason
H2O_ccpvdz_JW_HEA_v4_tapered__sha256_6d66b3fceee03e10,H2O,jordan_wigner,hea,4,ok,,12,6,0.4032122583623732,1.8651149350129401,10.850114427626067,11.25332668598844,False,0.005817397214478254,0.017456619304479837,53.69874723945145,54.10195949781382,False,0.028791119641685185,0.0844868265875266,106.03523946369364,106.43845172205602,False,0.056851852651621154,0.16229303225128555,72.73395005003636,73.13716230839873,False,0.03899703374019239,,0.054425158779736194,0.45763741714210937,True,
H2O_ccpvdz_JW_UCCSD_v4_tapered__sha256_1a15dd08a75640a5,H2O,jordan_wigner,uccsd_tapered,4,ok,,170,120,0.00014370176870670548,1.8655180035695338,238.41868660944954,238.41883031121824,False,0.1278029406059082,0.29027783402929397,893.3642438577323,893.364387559501,False,0.47888267073721313,0.8207059859614274,1331.9424447021788,1331.9425884039474,False,0.7139799466708996,0.9682017108814556,1027.9091359447393,1027.909279646508,False,0.5510046721489202,,253.1690448661834,253.16918856795212,False,
H2O_ccpvdz_PAR_HEA_v4_tapered__sha256_b50cee1c91dc0410,H2O,parity,hea,4,ok,,12,6,0.3992083961890103,1.8651189388750993,18.669250968557094,19.068459364746104,False,0.01000968387561224,0.017456619304479837,91.3566348328061,91.7558432289951,False,0.048981667028648375,0.0844868265875266,177.89377604674428,178.2929844429333,False,0.09537931996660574,0.16229303225128555,115.16082513061576,115.56003352680477,False,0.061744493999976315,,0.33326179185166893,0.7324701880406792,True,
H2_ccpvdz_BK_HEA_v4_tapered__sha256_aa7360a68d23f35c,H2,bravyi_kitaev,hea,1,ok,,3,0,8.591150901793299e-06,0.5796298956444172,0.23182104597108122,0.231829637121983,True,0.0003999466689228455,0.00039994666903697684,1.1584871231036242,1.158495714254526,True,0.0019986669628481615,0.001998666962963025,2.3154295970053695,2.3154381881562713,True,0.003994669036922493,0.003994669037036935,4.623868941528775,4.623877532679677,True,0.007977278218867713,,4.6277739418343344e-06,1.3218924843627633e-05,True,
H2_ccpvdz_BK_UCCSD_v4_tapered__sha256_ffcf6a5b220b54b6,H2,bravyi_kitaev,uccsd_tapered,1,ok,,1,0,1.0478176104555814e-06,0.5796299031877505,0.07728398706974282,0.07728503488735328,True,0.00013333333329545183,0.00013333333333331865,0.3864199354364217,0.3864209832540322,True,0.0006666666666285757,0.0006666666666667043,0.7728398708950479,0.7728409187126584,True,0.0013333333332954595,0.0013333333333332975,1.5426295815428315,1.542630629360442,True,0.0026614044117788576,,1.7174461852675904e-07,1.2195622289823405e-06,True,
H2_ccpvdz_JW_HEA_v4_tapered__sha256_67c3022f966367ed,H2,jordan_wigner,hea,1,ok,,3,0,1.36132405348377e-05,0.5796298906223296,0.2318210439617996,0.23183465720233443,True,0.00039994666892161296,0.00039994666903697684,1.1584871130656538,1.1585007263061886,True,0.0019986669628473163,0.001998666962963025,2.3154295769431954,2.3154431901837302,True,0.003994669036921465,0.003994669037036935,4.613665328924155,4.6136789421646895,True,0.007959674619213673,,4.627773497745125e-06,1.8241014032582825e-05,True,
H2_ccpvdz_JW_UCCSD_v4_tapered__sha256_93a0f8a8604d9aed,H2,jordan_wigner,uccsd_tapered,1,ok,,1,0,1.0478176104555814e-06,0.5796299031877525,0.07728398706974282,0.07728503488735328,True,0.00013333333329545137,0.00013333333333331865,0.3864199354364217,0.3864209832540322,True,0.0006666666666285734,0.0006666666666667043,0.7728398708950479,0.7728409187126584,True,0.001333333333295455,0.0013333333333332975,1.5426295815428315,1.542630629360442,True,0.0026614044117788485,,1.7174217603610487e-07,1.2195597864916863e-06,True,
H2_ccpvdz_PAR_HEA_v4_tapered__sha256_ffbef22125a8b6c9,H2,parity,hea,1,ok,,3,0,8.591150901793299e-06,0.5796298956444172,0.23182104597108122,0.231829637121983,True,0.0003999466689228455,0.00039994666903697684,1.1584871231036242,1.158495714254526,True,0.0019986669628481615,0.001998666962963025,2.3154295970053695,2.3154381881562713,True,0.003994669036922493,0.003994669037036935,4.623868941528775,4.623877532679677,True,0.007977278218867713,,4.6277739418343344e-06,1.3218924843627633e-05,True,
H2_ccpvdz_PAR_UCCSD_v4_tapered__sha256_f208cd1e8667c4bc,H2,parity,uccsd_tapered,1,ok,,1,0,1.0478176104555814e-06,0.5796299031877505,0.07728398706974282,0.07728503488735328,True,0.00013333333329545183,0.00013333333333331865,0.3864199354364217,0.3864209832540322,True,0.0006666666666285757,0.0006666666666667043,0.7728398708950479,0.7728409187126584,True,0.0013333333332954595,0.0013333333333332975,1.5426295815428315,1.542630629360442,True,0.0026614044117788576,,1.7174461852675904e-07,1.2195622289823405e-06,True,
H4_ccpvdz_JW_ADAPT_v4_tapered__sha256_39f9134a722ad612,H4,jordan_wigner,adapt,5,ok,,14,16,9.941708740166089,1.2941034779943101,26.55608136354104,36.49779010370713,False,0.020520833005332362,0.0435836302557836,126.1581394266642,136.0998481668303,False,0.09748690237831112,0.2001923891341123,237.10992570777867,247.05163444794476,False,0.18322331230827676,0.361233159356659,150.48176555155467,160.42347429172077,False,0.1162826374478041,,2.270282973228177,12.211991713394266,False,
