=== early-stopping control: 480 jobs, 30 at a time ===
LiH_LBFGSB_weighted_T100000000_P100000_s4    evals=  480 shots=   47955840  gap_final=   706.36  gap_best=   706.36 mHa
LiH_LBFGSB_neyman_T100000000_P100000_s7      evals=  336 shots=   33574326  gap_final=   713.45  gap_best=   713.45 mHa
LiH_LBFGSB_neyman_T100000000_P100000_s2      evals=  400 shots=   39969422  gap_final=   707.59  gap_best=   680.32 mHa
LiH_LBFGSB_neyman_T100000000_P100000_s6      evals=  368 shots=   36772090  gap_final=   705.73  gap_best=   705.79 mHa
LiH_LBFGSB_neyman_T100000000_P100000_s0      evals=  416 shots=   41568553  gap_final=   722.49  gap_best=   722.49 mHa
LiH_LBFGSB_neyman_T100000000_P100000_s4      evals=  416 shots=   41568935  gap_final=   706.36  gap_best=   706.46 mHa
LiH_LBFGSB_neyman_T100000000_P100000_s3      evals=  432 shots=   43166889  gap_final=   699.57  gap_best=   699.57 mHa
LiH_LBFGSB_neyman_T100000000_P100000_s8      evals=  384 shots=   38371208  gap_final=   708.87  gap_best=   708.87 mHa
LiH_LBFGSB_neyman_T100000000_P100000_s1      evals=  464 shots=   46364723  gap_final=   701.61  gap_best=   701.61 mHa
LiH_LBFGSB_neyman_T100000000_P100000_s9      evals=  432 shots=   43167240  gap_final=   717.58  gap_best=   717.58 mHa
LiH_LBFGSB_neyman_T100000000_P100000_s5      evals=  512 shots=   51161581  gap_final=   706.19  gap_best=   706.19 mHa
LiH_LBFGSB_r_uniform_T100000000_P100000_s0   evals= 1000 shots=   99946000  gap_final=   722.49  gap_best=   722.49 mHa
LiH_LBFGSB_r_uniform_T100000000_P100000_s6   evals= 1000 shots=   99946000  gap_final=   705.73  gap_best=   710.06 mHa
LiH_LBFGSB_r_uniform_T100000000_P100000_s8   evals= 1000 shots=   99946000  gap_final=   708.87  gap_best=   715.64 mHa
LiH_LBFGSB_r_uniform_T100000000_P100000_s9   evals= 1000 shots=   99946000  gap_final=   717.58  gap_best=   738.26 mHa
LiH_LBFGSB_r_exact_T100000000_P100000_s0     evals= 1000 shots=          0  gap_final=     0.03  gap_best=     0.03 mHa
LiH_LBFGSB_r_exact_T100000000_P100000_s1     evals= 1000 shots=          0  gap_final=     0.12  gap_best=     0.12 mHa
LiH_LBFGSB_r_exact_T100000000_P100000_s2     evals= 1000 shots=          0  gap_final=     0.08  gap_best=     0.08 mHa
LiH_LBFGSB_r_exact_T100000000_P100000_s3     evals= 1000 shots=          0  gap_final=     0.08  gap_best=     0.08 mHa
LiH_LBFGSB_r_weighted_T100000000_P100000_s4  evals= 1000 shots=   99908000  gap_final=   706.36  gap_best=   701.55 mHa
LiH_LBFGSB_r_uniform_T100000000_P100000_s7   evals= 1000 shots=   99946000  gap_final=   713.45  gap_best=   706.40 mHa
LiH_LBFGSB_r_uniform_T100000000_P100000_s2   evals= 1000 shots=   99946000  gap_final=   707.59  gap_best=   708.79 mHa
LiH_LBFGSB_r_exact_T100000000_P100000_s4     evals= 1000 shots=          0  gap_final=     0.02  gap_best=     0.02 mHa
LiH_LBFGSB_r_weighted_T100000000_P100000_s3  evals= 1000 shots=   99908000  gap_final=   699.57  gap_best=   697.29 mHa
LiH_LBFGSB_r_weighted_T100000000_P100000_s1  evals= 1000 shots=   99908000  gap_final=   701.61  gap_best=   701.61 mHa
LiH_LBFGSB_r_exact_T100000000_P100000_s5     evals= 1000 shots=          0  gap_final=     0.05  gap_best=     0.05 mHa
LiH_LBFGSB_r_uniform_T100000000_P100000_s3   evals= 1000 shots=   99946000  gap_final=   699.57  gap_best=   699.57 mHa
LiH_LBFGSB_r_exact_T100000000_P100000_s6     evals= 1000 shots=          0  gap_final=     0.03  gap_best=     0.03 mHa
LiH_LBFGSB_r_weighted_T100000000_P100000_s8  evals= 1000 shots=   99908000  gap_final=   708.87  gap_best=   708.87 mHa
LiH_LBFGSB_r_exact_T100000000_P100000_s7     evals= 1000 shots=          0  gap_final=     0.14  gap_best=     0.10 mHa
LiH_LBFGSB_r_weighted_T100000000_P100000_s9  evals= 1000 shots=   99908000  gap_final=   717.58  gap_best=   717.58 mHa
LiH_LBFGSB_r_uniform_T100000000_P100000_s4   evals= 1000 shots=   99946000  gap_final=   706.36  gap_best=   706.36 mHa
LiH_LBFGSB_r_weighted_T100000000_P100000_s2  evals= 1000 shots=   99908000  gap_final=   707.59  gap_best=   707.65 mHa
LiH_LBFGSB_r_exact_T100000000_P100000_s8     evals= 1000 shots=          0  gap_final=     0.01  gap_best=     0.01 mHa
LiH_LBFGSB_r_neyman_T100000000_P100000_s8    evals= 1000 shots=   99924487  gap_final=   708.87  gap_best=   668.42 mHa
