rank,entry_id,molecule,basis,orbital_opt,mapping,ansatz,gap,depth,2q_gates,balanced_score,ccsd_t_correlation,t_gate_estimate,non_clifford_gates,baseline,beats_classical,optimizer,optimiser_family,amplifies,margin,chem_accurate,robustness,at_risk,noise_status,noise_penalty,noisy_gap,zne_residual,noise_model,early_stopped,restarts_used,restarts_requested,n_params
32,C4H6_ccpvdz_JW_ADAPT_v4_tapered__sha256_d70625e50afebe76,C4H6,cc-pvdz,hf,jordan_wigner,adapt,0.002828578592584563,20,14,0.619565,-0.6258175827057357,96,8,True,True,ADAPT-VQE/COBYLA,gradient-free,False,0.007171421407415437,False,robust,False,measured,0.07781827511749384,0.08064685370990787,0.0008590804188202128,depolarizing-current/v1,True,1,3,1
33,H4_ccpvdz_JW_UCCSD_v4_tapered__sha256_7606caf47ff39f40,H4,cc-pvdz,hf,jordan_wigner,UCCSD,0.002221794896831053,120,24,0.695652,-0.08731157362009423,1500,125,True,True,COBYLA,gradient-free,True,0.007778205103168947,False,robust,False,measured,1.2226725525110174,1.224894347407847,1.091283113102134,depolarizing-current/v1,True,1,3,64
34,H4_ccpvdz_PAR_HEA_v4_tapered__sha256_45b7b6da4d0a0e63,H4,cc-pvdz,hf,parity,hardware_efficient,0.00449225835122169,16,16,0.717391,-0.08731157362009423,300,25,True,True,COBYLA,gradient-free,True,0.005507741648778311,False,robust,False,measured,0.1303447223823464,0.13483698073356631,0.0021212520868090223,depolarizing-current/v1,True,1,10,25
35,C4H4_ccpvdz_JW_HEA_v4_casscf_tapered__sha256_5b0a919ded51c8e6,C4H4,cc-pvdz,casscf,jordan_wigner,hardware_efficient,0.009636802410113887,11,10,0.73913,-0.5957454437906335,216,18,True,True,COBYLA,gradient-free,True,0.00036319758988611305,False,marginal,False,measured,0.09730475808274264,0.10694156049311232,0.0008910950367351234,depolarizing-current/v1,True,8,10,18
36,H4_ccpvdz_JW_HEA_v4_tapered__sha256_2cb5ee33e450acbd,H4,cc-pvdz,hf,jordan_wigner,hardware_efficient,0.00928260877656717,16,16,0.782609,-0.08731157362009423,300,25,True,True,COBYLA,gradient-free,True,0.0007173912234328308,False,robust,False,measured,0.12676994520176166,0.1360525539783266,0.0021492076422817696,depolarizing-current/v1,True,1,10,25
37,C4H4_ccpvdz_JW_ADAPT_v4_casscf_tapered__sha256_c9726695d8bdde1d,C4H4,cc-pvdz,casscf,jordan_wigner,adapt,0.005963395686137574,20,28,0.793478,-0.5957454437906335,192,16,True,True,ADAPT-VQE/COBYLA,gradient-free,False,0.0040366043138624266,False,robust,False,measured,0.16788866297059712,0.17385205865701892,0.004536815513915826,depolarizing-current/v1,True,1,3,2
37,N2_ccpvdz_PAR_HEA_v4_casscf_tapered__sha256_1092269e3f92c847,N2,cc-pvdz,casscf,parity,hardware_efficient,0.004403958606530978,37,70,0.793478,-0.32484132984853886,1056,88,True,True,L-BFGS-B,gradient-based,False,0.0055960413934690225,False,fragile,False,measured,1.352854471578354,1.3572584301848136,0.2273616191095158,depolarizing-current/v1,True,2,5,88
39,H4_ccpvdz_JW_ADAPT_v4_tapered__sha256_39f9134a722ad612,H4,cc-pvdz,hf,jordan_wigner,adapt,0.009941708740167421,20,14,0.804348,-0.08731157362009423,96,8,True,True,ADAPT-VQE/COBYLA,gradient-free,False,5.829125983257931e-05,False,robust,False,measured,0.1261581394266642,0.1360998481668303,0.002270282973228177,depolarizing-current/v1,True,1,3,1
39,N2_ccpvdz_JW_HEA_v4_casscf_tapered__sha256_17841edecba23ac1,N2,cc-pvdz,casscf,jordan_wigner,hardware_efficient,0.004513207152243126,37,70,0.804348,-0.3248413299058228,1056,88,True,True,L-BFGS-B,gradient-based,False,0.005486792847756874,False,fragile,False,measured,1.3069224720571102,1.3114356792093815,0.22031111167184747,depolarizing-current/v1,True,1,5,88
41,C4H4_ccpvdz_JW_UCCSD_v4_casscf_tapered__sha256_a26c030f93eb230d,C4H4,cc-pvdz,casscf,jordan_wigner,UCCSD,0.007916757707874922,286,32,0.815217,-0.5957454437906335,3600,300,True,True,COBYLA,gradient-free,True,0.0020832422921250784,False,marginal,False,measured,1.1637251183085766,1.1716418760167073,1.15744291786595,depolarizing-current/v1,True,1,10,152
42,benzene_ccpvdz_JW_HEA_v4_casscf_tapered__sha256_6c49b2e94f84aa30,benzene,cc-pvdz,casscf,jordan_wigner,hardware_efficient,0.008740936411612665,38,80,0.858696,-0.8738077323259574,1188,99,True,True,L-BFGS-B,gradient-based,False,0.0012590635883873349,False,robust,False,measured,0.7942665308453627,0.8030074672571175,0.13529252312795848,depolarizing-current/v1,True,1,5,99
43,N2_ccpvdz_JW_ADAPT_v4_casscf_tapered__sha256_850d9d253b878943,N2,cc-pvdz,casscf,jordan_wigner,adapt,0.008830610582577947,378,350,0.891304,-0.3248413299058228,2400,200,True,True,ADAPT-VQE/COBYLA,gradient-free,False,0.0011693894174220534,False,robust,False,measured,3.209997199452445,3.218827810035023,2.8689656618180948,depolarizing-current/v1,True,1,3,25
44,H6_ccpvdz_JW_ADAPT_v4_casscf_tapered__sha256_def5987c2958af93,H6,cc-pvdz,casscf,jordan_wigner,adapt,0.00927283033905768,370,392,0.913043,-0.13578138010446583,2688,224,True,True,ADAPT-VQE/COBYLA,gradient-free,False,0.0007271696609423197,False,robust,False,measured,2.3010173934344014,2.3102902237734586,1.9099251140374651,depolarizing-current/v1,True,1,3,28
44,benzene_ccpvdz_JW_ADAPT_v4_casscf_tapered__sha256_6a02a889695ff913,benzene,cc-pvdz,casscf,jordan_wigner,adapt,0.009539714606773941,100,154,0.913043,-0.8738077323259574,1056,88,True,True,ADAPT-VQE/COBYLA,gradient-free,False,0.00046028539322605887,False,robust,False,measured,1.737830570539188,1.747370285145962,1.1476982114869259,depolarizing-current/v1,True,1,3,11
46,H8_ccpvdz_JW_ADAPT_v4_casscf_tapered__sha256_b2328caa5d17467b,H8,cc-pvdz,casscf,jordan_wigner,adapt,0.009796656115030444,1088,1372,0.967391,-0.18466473494252433,9408,784,True,True,ADAPT-VQE/L-BFGS-B,gradient-based,False,0.0002033438849695559,False,robust,False,absent,,,,,True,1,3,98
47,H10_ccpvdz_JW_ADAPT_v4_casscf_tapered__sha256_d2701c2be739db5f,H10,cc-pvdz,casscf,jordan_wigner,adapt,0.009977477498571474,3562,4200,1.0,-0.23375661018505145,28800,2400,True,True,ADAPT-VQE/L-BFGS-B,gradient-based,False,2.252250142852595e-05,False,robust,False,absent,,,,,True,1,3,300
